gen: 28, min: 1.6939780712127686, max: 2.2695746421813965, avg: 1.7935364654064179
gen: 29, min: 1.7326524257659912, max: 2.307197093963623, avg: 1.8274018547534943
gen: 30, min: 1.7683906555175781, max: 2.307197093963623, avg: 1.856862797498703
gen: 31, min: 1.8017423152923584, max: 2.307197093963623, avg: 1.886643729686737
gen: 32, min: 1.8295457363128662, max: 2.307197093963623, avg: 1.9110302758216857
gen: 33, min: 1.853403091430664, max: 2.4158780574798584, avg: 1.9331611909866333
gen: 34, min: 1.8782742023468018, max: 2.4158780574798584, avg: 1.9554865350723267
gen: 35, min: 1.9014275074005127, max: 2.4158780574798584, avg: 1.9778684587478639
gen: 36, min: 1.9289929866790771, max: 2.4158780574798584, avg: 2.001579530239105
gen: 37, min: 1.950181007385254, max: 2.4158780574798584, avg: 2.0220675852298737
gen: 38, min: 1.9713451862335205, max: 2.4158780574798584, avg: 2.0449780969619753
gen: 39, min: 1.992542028427124, max: 2.4158780574798584, avg: 2.0685329492092133
gen: 40, min: 2.0159201622009277, max: 2.4158780574798584, avg: 2.0905662047863007
gen: 41, min: 2.034701347351074, max: 2.4158780574798584, avg: 2.112038920164108
gen: 42, min: 2.0558993816375732, max: 2.4386932849884033, avg: 2.1340320870876313
gen: 43, min: 2.0787312984466553, max: 2.4386932849884033, avg: 2.1581231591701506
gen: 44, min: 2.1047070026397705, max: 2.4386932849884033, avg: 2.1794217863082888
gen: 45, min: 2.1286673545837402, max: 2.4386932849884033, avg: 2.2028003206253053
gen: 46, min: 2.155602216720581, max: 2.473200798034668, avg: 2.2233912460803986
gen: 47, min: 2.1757538318634033, max: 2.473200798034668, avg: 2.245853457927704
gen: 48, min: 2.203148126602173, max: 2.473200798034668, avg: 2.268605277061462
gen: 49, min: 2.2249791622161865, max: 2.473200798034668, avg: 2.2884624032974243
gen: 50, min: 2.2493503093719482, max: 2.5017945766448975, avg: 2.3099969265460967
gen: 51, min: 2.272237539291382, max: 2.504418134689331, avg: 2.3287525045871735
gen: 52, min: 2.294090986251831, max: 2.504418134689331, avg: 2.3451213026046753
gen: 53, min: 2.3140647411346436, max: 2.504418134689331, avg: 2.3618009526729584
gen: 54, min: 2.3345696926116943, max: 2.536712408065796, avg: 2.377017961740494
gen: 55, min: 2.34964656829834, max: 2.5382916927337646, avg: 2.3916123523712156
gen: 56, min: 2.3693997859954834, max: 2.5382916927337646, avg: 2.407561729669571
gen: 57, min: 2.3813326358795166, max: 2.5382916927337646, avg: 2.420977339506149
gen: 58, min: 2.3990113735198975, max: 2.5667402744293213, avg: 2.43441593337059
gen: 59, min: 2.415288209915161, max: 2.5667402744293213, avg: 2.4468551745414735
gen: 60, min: 2.4297492504119873, max: 2.5667402744293213, avg: 2.4574716656208038
gen: 61, min: 2.4421465396881104, max: 2.5667402744293213, avg: 2.467799360513687
gen: 62, min: 2.453639030456543, max: 2.5667402744293213, avg: 2.4764507501125337
gen: 63, min: 2.463822364807129, max: 2.5667402744293213, avg: 2.485264025449753
gen: 64, min: 2.473200798034668, max: 2.5667402744293213, avg: 2.493742053031921
gen: 65, min: 2.4825260639190674, max: 2.6070351600646973, avg: 2.5013578922748567
gen: 66, min: 2.4903671741485596, max: 2.6070351600646973, avg: 2.5101803154945372
gen: 67, min: 2.4990084171295166, max: 2.6070351600646973, avg: 2.519191716194153
gen: 68, min: 2.5036022663116455, max: 2.6409878730773926, avg: 2.528186861038208
gen: 69, min: 2.5133121013641357, max: 2.6409878730773926, avg: 2.538888552427292
gen: 70, min: 2.5274202823638916, max: 2.6409878730773926, avg: 2.549930425643921
gen: 71, min: 2.541107177734375, max: 2.6409878730773926, avg: 2.559727444410324
gen: 72, min: 2.5516469478607178, max: 2.6409878730773926, avg: 2.56811621260643
gen: 73, min: 2.5667402744293213, max: 2.6454529762268066, avg: 2.5741882996559142
gen: 74, min: 2.5667402744293213, max: 2.6454529762268066, avg: 2.579235873222351
gen: 75, min: 2.5699703693389893, max: 2.6454529762268066, avg: 2.587463413953781
gen: 76, min: 2.581712484359741, max: 2.6454529762268066, avg: 2.596069019317627
gen: 77, min: 2.5880331993103027, max: 2.6454529762268066, avg: 2.6024608817100523
gen: 78, min: 2.603611469268799, max: 2.6454529762268066, avg: 2.6060383496284483
gen: 79, min: 2.603611469268799, max: 2.655524969100952, avg: 2.607269680976868
gen: 80, min: 2.603611469268799, max: 2.655524969100952, avg: 2.6086405169963838
gen: 81, min: 2.603611469268799, max: 2.655524969100952, avg: 2.611040019750595
gen: 82, min: 2.604436159133911, max: 2.655524969100952, avg: 2.6143883752822874
gen: 83, min: 2.607144594192505, max: 2.655524969100952, avg: 2.6184259803295133
gen: 84, min: 2.6102547645568848, max: 2.6564483642578125, avg: 2.6242443432807923
gen: 85, min: 2.627821207046509, max: 2.657684564590454, avg: 2.6311743550300597
gen: 86, min: 2.627821207046509, max: 2.657684564590454, avg: 2.633597097635269
gen: 87, min: 2.627821207046509, max: 2.657684564590454, avg: 2.6375912175178526
gen: 88, min: 2.6338813304901123, max: 2.6646034717559814, avg: 2.644233296394348
gen: 89, min: 2.6409878730773926, max: 2.6794300079345703, avg: 2.6464325273036957
gen: 90, min: 2.6409878730773926, max: 2.6794300079345703, avg: 2.6500321342945097
gen: 91, min: 2.6454529762268066, max: 2.6794300079345703, avg: 2.6540365102291106
gen: 92, min: 2.655524969100952, max: 2.6794300079345703, avg: 2.6568092935085295
gen: 93, min: 2.655524969100952, max: 2.6794300079345703, avg: 2.658242924451828
gen: 94, min: 2.6564483642578125, max: 2.6794300079345703, avg: 2.6603955574035645
gen: 95, min: 2.6564483642578125, max: 2.6794300079345703, avg: 2.6635432982444764
gen: 96, min: 2.657684564590454, max: 2.6794300079345703, avg: 2.668479407072067
gen: 97, min: 2.657684564590454, max: 2.6794300079345703, avg: 2.6757214441299437
gen: 98, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 99, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 100, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 101, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 102, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 103, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 104, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 105, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 106, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 107, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 108, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 109, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 110, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 111, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 112, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 113, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 114, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 115, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 116, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 117, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 118, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 119, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
