constructing 9 ConvTransformerEncoderLayers
gen: 105, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 106, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 107, avg: -15.537745908737183, std: 0.013535904556381963
gen: 108, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 109, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 110, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 111, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 112, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 113, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 114, avg: -15.537768321037293, std: 0.014537962487564749
gen: 115, avg: -15.537735533714294, std: 0.013072035434305306
gen: 116, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 117, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 118, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 119, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 120, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 121, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 122, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 123, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 124, avg: -15.537704201698304, std: 0.01167117541111442
gen: 125, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 126, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 127, avg: -15.537824301719665, std: 0.017040868768373418
gen: 128, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 129, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 130, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 131, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 132, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 133, avg: -15.537993782043458, std: 0.024618364210962286
gen: 134, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 135, avg: -15.538020600318909, std: 0.025817414078378908
gen: 136, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 137, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 138, avg: -15.537687319755554, std: 0.010916380740304352
gen: 139, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 140, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 141, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 142, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 143, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 144, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 145, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 146, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 147, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 148, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 149, avg: -15.53822576713562, std: 0.02476976094852884
gen: 150, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 151, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 152, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 153, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 154, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 155, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 156, avg: -15.537856518745423, std: 0.018481297725517577
gen: 157, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 158, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 159, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 160, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 161, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 162, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 163, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 164, avg: -15.538112600326539, std: 0.02993075078731048
gen: 165, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 166, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 167, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 168, avg: -15.537530256271362, std: 0.0038940441596165207
gen: 169, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 170, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 171, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 172, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 173, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 174, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 175, avg: -15.5378909740448, std: 0.020021800295253113
gen: 176, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 177, avg: -15.537821516990661, std: 0.01691636303915631
gen: 178, avg: -15.537678864479066, std: 0.010538343818113355
gen: 179, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 180, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 181, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 182, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 183, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 184, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 185, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 186, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 187, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 188, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 189, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 190, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 191, avg: -15.53760706281662, std: 0.007328078652874316
gen: 192, avg: -15.537530256271362, std: 0.0038940441559671387
gen: 193, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 194, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 195, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 196, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 197, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 198, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 199, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 200, avg: -15.537879558563233, std: 0.0195114120815097
gen: 201, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 202, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 203, avg: -15.537551546573638, std: 0.004845937441418313
gen: 204, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 205, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 206, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 207, avg: -15.537745908737183, std: 0.013535904557431826
gen: 208, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 209, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 210, avg: -15.537898484230041, std: 0.0203575820147325
gen: 211, avg: -15.537687319755554, std: 0.010916380740304352
gen: 212, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 213, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 214, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 215, avg: -15.538161952972413, std: 0.03213731636322655
gen: 216, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 217, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 218, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 219, avg: -15.537869045257569, std: 0.01904136031335908
gen: 220, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 221, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 222, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 223, avg: -15.538169127464295, std: 0.024144922676035612
gen: 224, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 225, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 226, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 227, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 228, avg: -15.537443161010742, std: 1.8390713477780237e-06
